canonical_smiles,pIC50,activite,tsne1,tsne2,pca1,pca2
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(C(F)(F)F)cc1,5.336487529584844,intermediaire,-28.518175,49.038338,-0.5752054052081997,0.7377178925074737
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc2ccccc12,5.996539467890494,intermediaire,-29.860924,48.671455,-0.7718165755391689,0.44998829645873367
Br.CC[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,8.397940008672037,actif,-31.114145,47.43435,-0.5343172426164917,0.8281012265595409
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(Br)cc1,7.207608310501746,actif,-29.306112,49.32231,-0.1754950966582371,0.7220375008614138
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(F)cc1,8.42021640338319,actif,-28.140812,48.847656,-0.4383832397898794,0.7214264958137434
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc(F)c1,8.045757490560675,actif,-28.04072,48.522556,-0.36337855269612257,0.905497670152679
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,8.431798275933005,actif,-30.725344,48.195408,-0.5586464522454085,0.6407582380311092
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1F,8.096910013008056,actif,-28.262642,48.094265,-0.5689029337558428,0.723926110833283
Br.Cc1ccc([C@@H](C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)cc1,6.346787486224656,actif,-29.33481,49.117104,-0.5262240784080875,0.5877641009331334
Br.Cc1cccc(C(C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)c1,7.022276394711152,actif,-29.659187,48.923405,-0.4968998756116576,0.7468574601815315
Br.Cc1ccccc1C(C)Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12,7.769551078621726,actif,-29.868437,48.765972,-0.6671045764726573,0.5716823345191318
Br.Oc1ccc(-c2cc3c(NCc4ccc(F)cc4)ncnc3[nH]2)cc1,7.585026652029182,actif,-30.341496,40.37724,-0.19557042872382438,0.6490037782000184
Br.Oc1ccc(-c2cc3c(NCc4cccc(F)c4)ncnc3[nH]2)cc1,7.2839966563652,actif,-30.418634,40.33753,-0.13593879921967333,0.7312261587262407
Br.Oc1ccc(-c2cc3c(NCc4ccccc4)ncnc3[nH]2)cc1,8.481486060122112,actif,-29.443834,41.688183,-0.331157816886593,0.45275341816603865
Br.Oc1ccc(-c2cc3c(NCc4ccccc4F)ncnc3[nH]2)cc1,7.346787486224656,actif,-30.23055,40.562237,-0.2878906038178297,0.5421395963618729
Brc1cc2c(NCc3ccccc3)ncnc2s1,6.617982957425132,actif,-3.9209023,29.187115,-0.0444930947736876,0.6582315744461477
Brc1cc2c(NCc3ccccn3)ncnc2s1,5.102153068420428,intermediaire,-4.3742313,28.40528,-0.1172016851065228,0.6298998048310699
Brc1cc2c(NCc3cccnc3)ncnc2s1,5.0,intermediaire,-4.3813744,28.434048,-0.2253252358234975,0.7318025261823818
Brc1cc2c(NCc3cccs3)ncnc2s1,5.862013267276469,intermediaire,-4.481127,28.270115,0.009295591205779913,0.7182691819296929
Brc1cc2c(NCc3ccncc3)ncnc2s1,5.410832609453952,intermediaire,-4.4877057,28.288101,-0.034606910420272655,0.7156673048246321
