canonical_smiles,pIC50,activite,famille
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(C(F)(F)F)cc1,5.336487529584844,intermediaire,2
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc2ccccc12,5.996539467890494,intermediaire,2
Br.CC[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,8.397940008672037,actif,2
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(Br)cc1,7.207608310501746,actif,2
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(F)cc1,8.42021640338319,actif,2
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc(F)c1,8.045757490560675,actif,2
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,8.431798275933005,actif,2
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1F,8.096910013008056,actif,2
Br.Cc1ccc([C@@H](C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)cc1,6.346787486224656,actif,2
Br.Cc1cccc(C(C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)c1,7.022276394711152,actif,2
Br.Cc1ccccc1C(C)Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12,7.769551078621726,actif,2
Br.Oc1ccc(-c2cc3c(NCc4ccc(F)cc4)ncnc3[nH]2)cc1,7.585026652029182,actif,2
Br.Oc1ccc(-c2cc3c(NCc4cccc(F)c4)ncnc3[nH]2)cc1,7.2839966563652,actif,1
Br.Oc1ccc(-c2cc3c(NCc4ccccc4)ncnc3[nH]2)cc1,8.481486060122112,actif,2
Br.Oc1ccc(-c2cc3c(NCc4ccccc4F)ncnc3[nH]2)cc1,7.346787486224656,actif,2
Brc1cc2c(NCc3ccccc3)ncnc2s1,6.617982957425132,actif,1
Brc1cc2c(NCc3ccccn3)ncnc2s1,5.102153068420428,intermediaire,1
Brc1cc2c(NCc3cccnc3)ncnc2s1,5.0,intermediaire,1
Brc1cc2c(NCc3cccs3)ncnc2s1,5.862013267276469,intermediaire,1
Brc1cc2c(NCc3ccncc3)ncnc2s1,5.410832609453952,intermediaire,1
Brc1cc2c(Nc3cccc(OCc4ccccc4)c3)ncnc2s1,5.0,intermediaire,1
Brc1cc2c(Nc3ccccc3)ncnc2s1,7.096910013008056,actif,1
Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,6.1487416512809245,actif,2
